URL,ID,Category,Sub Category,Daily,Weekly,Monthly,Item Cost,Deliver to Jobsite,Retrieval From Jobsite,Environmental Fee,Tax,Estimated Cost
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-10-ft-300-lb-capacity-fiberglass,290-9420,Aerial Work Platforms,Ladders,$26 ,$78 ,$155 ,$26.00 ,$165.00 ,$165.00 ,,$14.82 ,$370.82 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-12-ft-375-lb-capacity,290-9435,Aerial Work Platforms,Ladders,$44 ,$96 ,$230 ,$44.00 ,$165.00 ,$165.00 ,,$16.23 ,$390.23 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-12-ft-375-lb-capacity-fiberglass,290-9440,Aerial Work Platforms,Ladders,$32 ,$109 ,$191 ,$32.00 ,$165.00 ,$165.00 ,,$15.29 ,$377.29 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-14-ft-300-lb-capacity-fiberglass,290-9460,Aerial Work Platforms,Ladders,$37 ,$102 ,$261 ,$37.00 ,$165.00 ,$165.00 ,,$15.68 ,$382.68 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-16-ft-300-lb-capacity-fiberglass,290-9480,Aerial Work Platforms,Ladders,$43 ,$113 ,$255 ,$43.00 ,$165.00 ,$165.00 ,,$16.14 ,$389.14 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-4-ft-300-lb-capacity-fiberglass,290-9395,Aerial Work Platforms,Ladders,$13 ,$28 ,$67 ,$13.00 ,$192.90 ,$192.90 ,,$15.97 ,$414.77 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-6-ft-fiberglass,290-9356,Aerial Work Platforms,Ladders,$23 ,$70 ,$140 ,$23.00 ,$268.23 ,$268.23 ,,$22.58 ,$582.04 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-6-ft-300-lb-capacity,290-9355,Aerial Work Platforms,Ladders,$14 ,$32 ,$79 ,$14.00 ,$165.00 ,$165.00 ,,$13.89 ,$357.89 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-8-ft,290-9400,Aerial Work Platforms,Ladders,$24 ,$48 ,$96 ,$24.00 ,$165.00 ,$165.00 ,,$14.66 ,$368.66 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/ladders/step-ladder-8-ft-300-lb-capacity-fiberglass,290-9405,Aerial Work Platforms,Ladders,$23 ,$57 ,$102 ,$23.00 ,$165.00 ,$165.00 ,,$14.58 ,$367.58 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-120-ft-4wd,310-9826,Aerial Work Platforms,Boom Lifts,"$1,343 ","$4,195 ","$11,880 ","$1,343.00 ",$265.00 ,$265.00 ,$26.86 ,$127.48 ,"$2,027.34 "
,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-125-ft-4wd,310-9800,Aerial Work Platforms,Boom Lifts,"$1,279 ","$3,995 ","$11,314 ",Calculate Cost,,,,,
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-135-ft-4wd,310-9830,Aerial Work Platforms,Boom Lifts,"$1,489 ","$4,500 ","$12,207 ","$1,489.00 ",$265.00 ,$265.00 ,$29.78 ,$139.11 ,"$2,187.89 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-150-ft-4wd,310-9926,Aerial Work Platforms,Boom Lifts,"$2,659 ","$6,348 ","$19,136 ","$2,659.00 ",$429.17 ,$429.17 ,$53.18 ,$245.00 ,"$3,815.52 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-180-ft-185-ft,310-9940,Aerial Work Platforms,Boom Lifts,"$4,449 ","$10,581 ","$21,971 ","$4,449.00 ",$429.17 ,$429.17 ,$88.98 ,$387.55 ,"$5,783.87 "
,,,,,,,,,,,,
